date,state,death,negative,positive,totalTestResults
2021-02-22,NM,3635.0,2436084.0,183023.0,2619107.0
2021-02-22,NV,4882.0,1103209.0,291145.0,2667800.0
2021-02-22,NY,37941.0,,1584931.0,36603611.0
2021-02-22,OH,16874.0,,955378.0,9805398.0
2021-02-22,OK,4203.0,2996195.0,419853.0,3416048.0
2021-02-22,OR,2155.0,,152818.0,3465787.0
2021-02-22,PA,23614.0,3827159.0,915018.0,10121980.0
2021-02-22,PR,1983.0,305972.0,99257.0,405229.0
2021-02-22,RI,2466.0,659066.0,123980.0,2891439.0
2021-02-22,SC,8332.0,4342713.0,505589.0,4848302.0
2021-02-22,SD,1863.0,306570.0,111334.0,417904.0
2021-02-22,TN,11153.0,6038118.0,766089.0,6804207.0
2021-02-22,TX,41407.0,,2594466.0,19199117.0
2021-02-22,UT,1853.0,1513740.0,367073.0,2801118.0
2021-02-22,VA,7486.0,,565270.0,5762389.0
2021-02-22,VI,25.0,43693.0,2579.0,46272.0
2021-02-22,VT,198.0,311508.0,14608.0,1024572.0
2021-02-22,WA,4822.0,,333794.0,5074078.0
2021-02-22,WI,6871.0,2595614.0,612712.0,6692770.0
2021-02-22,WV,2263.0,2015270.0,129854.0,2145124.0
2021-02-22,WY,662.0,179431.0,53900.0,625036.0
2021-02-21,AK,289.0,,55198.0,1629829.0
2021-02-21,AL,9592.0,1875829.0,486843.0,2257675.0
2021-02-21,AR,5357.0,2352972.0,315514.0,2602624.0
2021-02-21,AS,0.0,2140.0,0.0,2140.0
2021-02-21,AZ,15505.0,2940237.0,807967.0,7433448.0
2021-02-21,CA,49105.0,,3441946.0,47043348.0
2021-02-21,CO,5892.0,2135251.0,420614.0,6011339.0
2021-02-21,CT,7523.0,,273101.0,6096514.0
2021-02-21,DC,995.0,,39648.0,1195253.0
2021-02-21,DE,1367.0,531605.0,84732.0,1356971.0
2021-02-21,FL,30434.0,9012223.0,1834708.0,21132651.0
2021-02-21,GA,16744.0,,985505.0,7042229.0
2021-02-21,GU,130.0,106994.0,7720.0,114714.0
2021-02-21,HI,431.0,,27904.0,1063576.0
2021-02-21,IA,5336.0,1022903.0,277268.0,1300171.0
2021-02-21,ID,1826.0,493294.0,169150.0,630724.0
2021-02-21,IL,22466.0,16448391.0,1174409.0,17622800.0
2021-02-21,IN,12372.0,2428352.0,655541.0,7754038.0
2021-02-21,KS,4614.0,947591.0,290832.0,1238423.0
2021-02-21,KY,4447.0,,396997.0,3807556.0
2021-02-21,LA,9466.0,4992511.0,424176.0,5416687.0
2021-02-21,MA,15826.0,4284944.0,569284.0,15549944.0
2021-02-21,MD,7715.0,2960703.0,376355.0,7654818.0
2021-02-21,ME,658.0,1499401.0,43497.0,1542898.0
2021-02-21,MI,16342.0,9410432.0,636269.0,10046701.0
2021-02-21,MN,6432.0,2960755.0,479036.0,6754710.0
2021-02-21,MO,7715.0,1836185.0,474997.0,4395885.0
2021-02-21,MP,2.0,17429.0,143.0,17572.0
2021-02-21,MS,6553.0,1393383.0,290632.0,1684015.0
2021-02-21,MT,1342.0,953401.0,98779.0,1052180.0
2021-02-21,NC,10926.0,9188586.0,842637.0,10031223.0
2021-02-21,ND,1465.0,302885.0,99277.0,1393460.0
2021-02-21,NE,2047.0,756992.0,198949.0,2314397.0
2021-02-21,NH,1154.0,571296.0,73413.0,1410731.0
2021-02-21,NJ,22858.0,9566182.0,766405.0,10332587.0
2021-02-21,NM,3624.0,2426972.0,182789.0,2609761.0
2021-02-21,NV,4872.0,1101946.0,290972.0,2662867.0
2021-02-21,NY,37851.0,,1578785.0,36461592.0
2021-02-21,OH,16816.0,,953767.0,9781894.0
2021-02-21,OK,4181.0,2996195.0,419354.0,3415549.0
2021-02-21,OR,2154.0,,152711.0,3465787.0
2021-02-21,PA,23597.0,3822646.0,913497.0,10070782.0
2021-02-21,PR,1979.0,305972.0,99084.0,405056.0
2021-02-21,RI,2463.0,658279.0,123821.0,2885345.0
2021-02-21,SC,8324.0,4343561.0,504149.0,4847710.0
2021-02-21,SD,1863.0,306471.0,111304.0,417775.0
2021-02-21,TN,11133.0,6031818.0,765137.0,6796955.0
2021-02-21,TX,41343.0,,2588101.0,19165851.0
2021-02-21,UT,1852.0,1511410.0,366735.0,2796344.0
2021-02-21,VA,7331.0,,564115.0,5749734.0
2021-02-21,VI,25.0,43564.0,2575.0,46139.0
2021-02-21,VT,197.0,310790.0,14493.0,1021885.0
2021-02-21,WA,4822.0,,333794.0,5074078.0
2021-02-21,WI,6871.0,2592363.0,612240.0,6677613.0
